Nome Studio;Citta;Regione;Sito Web;Email contatto;Progetto piu aggiornato trovato;Partner/Fondatori trovati;Fonte dettagli;Stato verifica
G*AA Giaquinto Architetti Associati;Torino;Piemonte;https://www.giaquintoitalianarchitect.com/;Da verificare;Residenza Riberi 6 su Homify;Attilio Giaquinto;https://www.homify.it/esperti/8016/g-aa-giaquinto-architetti-associati e https://www.centroestero.org/it/newsletter-per-i-media/news-room/1274-il-piemonte-al-mipim-2026-oltre-6-milioni-di-metri-quadri-di-opportunita-per-gli-investitori-internazionali-e-soluzioni-chiavi-in-mano-per-gli-imprenditori-immobiliari.html;Parziale, sito aggiornato ma email non trovata
b5 art Arch Studio;Torino;Piemonte;https://www.bcinque.net/;Da verificare;Appartamento M&V, Torino, progetto piu recente su Houzz;Pier Andrea Orazi, Vanna Motta, Valentina Tondo, Francesco Ravizza, Andrea Casassa;https://www.houzz.it/professionisti/architetti/b5-art-arch-studio-pfvwit-pf~1796767802 e https://www.geopietra.com/manufactured-stone-veneer-company/stone-home-design/studio-b5-artarch;Parziale, sito e team verificati ma email non trovata
Onice Architetti;Torino;Piemonte;https://www.onicearchitetti.com/;a.bonessa@onicearchitetti.com, t.fabbri@onicearchitetti.com;Casa Ernesto in home;Andrea Bonessa, Tiziana Fabbri;https://www.onicearchitetti.com/;Verificato sito ufficiale
ARCHISPRITZ;Torino;Piemonte;https://www.archispritz.com/;Da verificare;Casa G, 2023;Annalisa Barbera, Patrizia Vaccaro;https://www.archilovers.com/teams/669359/archispritz.html e https://www.homify.it/esperti/4009497/archispritz;Parziale, sito e partner verificati ma email non trovata
CIMA studio;Bologna;Emilia-Romagna;https://www.cima.studio/;Da verificare;Casa B.V, Bologna, 2024-2025;Andrea Cippitelli, Maria Vittoria Campagna;https://www.cima.studio/ e https://www.archilovers.com/projects/340936/casa-b-v.html;Parziale, sito e progetto verificati ma email non trovata
UNICA Architects;Bologna;Emilia-Romagna;https://www.unicaarchitects.com/;info@unicaarchitects.com;Villa Orizzonte, Bulgari Mansion 5, Casa SC28 selezionati su Archinect;Riccardo Robustini, Lorenzo Capucci;https://www.unicaarchitects.com/studio e https://www.unicaarchitects.com/;Verificato sito ufficiale
ZSM studio;Bologna;Emilia-Romagna;https://www.zsmstudio.com/;info@zsmstudio.com;Villa 100, Flat ST, Flat T in portfolio;Stefano Zoffoli, Marco Sita;https://www.zsmstudio.com/about/ e https://www.zsmstudio.com/contact/;Verificato sito ufficiale
MIRO architetti;Bologna;Emilia-Romagna;https://www.miroarchitetti.com/;info@miroarchitetti.com;Da verificare su portfolio, profilo con 4 progetti Archisio;Valentina Cicognani, Giacomo Minelli, Riccardo Pedrazzoli;https://www.artribune.com/museo-galleria-arte/miro-architetti-2/ e https://www.archisio.it/pro/miro-architetti/profilo;Verificato da fonti pubbliche, sito ufficiale da ricontrollare
PROGETTANDO architetti;Bologna;Emilia-Romagna;Da verificare;Da verificare;Da verificare;Da verificare;https://www.houzz.it/professionisti/architetti/progettando-architetti-pfvwit-pf~347426589;Da arricchire
rossottanio architettura;Bologna;Emilia-Romagna;https://rossottanio.com/;info@rossottanio.com;Villetta AM in home;Michela Biancardi, Nike Maragucci;https://rossottanio.com/;Verificato sito ufficiale
OKS architetti;Firenze;Toscana;https://www.oksarchitetti.com/;info@oksarchitetti.com;Portfolio home, progetti recenti da verificare per data;Eugenio Salvetti, Luca Scollo;https://www.oksarchitetti.com/ e https://www.oksarchitetti.com/studio/;Verificato sito ufficiale
Sammarro Architecture Studio;Firenze;Toscana;https://www.sammarro.com/;luigi@sammarro.com;Showroom, Florence in portfolio;Luigi Sammarro, Mariagrazia Rizzo, Maria Brunetti, Armando Scandone;https://www.sammarro.com/studio-contacts/ e https://www.sammarro.com/projects/;Verificato sito ufficiale
STUDIO di ARCHITETTURA - Arch. Luludakis;Firenze;Toscana;Da verificare;Da verificare;Da verificare, profilo senza progetti nello snippet;Roberto Luludakis;https://www.archilovers.com/teams/128679/studio-di-architettura-arch-luludakis.html;Parziale, telefono verificato ma email non trovata
E+I architetti;Napoli;Campania;Da verificare;Da verificare;Casa vacanze_Trieste, Trieste, 2023;Anna Serena Esposito, Mario Imperato;https://www.archilovers.com/teams/734926/ei-architetti.html e https://www.houzz.it/professionisti/architetti/e-i-architetti-pfvwit-pf~918572572;Parziale, manca sito/email
U_R architetti;Torre del Greco;Campania;https://urachitetti.com/;Da verificare;Da verificare su sito;Da verificare;https://www.houzz.it/professionisti/architetti/u-r-architetti-pfvwit-pf~441345450;Parziale, sito indicato ma email non trovata
Officine Architetti;Napoli;Campania;https://www.officinearchitetti.it/;info@officinearchitetti.it;Casa San Giacomo, 2026;Marco Di Gennaro, Luigi Guidi;https://www.edilportale.com/marco-di-gennaro/ e https://www.oraridiapertura24.it/filiale/Napoli-Officine%2520Architetti-1862755C.html;Verificato da fonti pubbliche, sito da ricontrollare
M Architettura;Napoli;Campania;https://marchitettura.it/;Da verificare;Casa Noce, 80 mq, progetto piu recente su Houzz;Mario Coppola;https://marchitettura.it/about-us/ e https://www.houzz.it/professionisti/architetti/m-architettura-pfvwit-pf~1423125557;Parziale, telefono verificato ma email non trovata
Imperatore Architetti;Napoli;Campania;https://imperatorearchitetti.com/;info@imperatorearchitetti.com;Progetti residenziali e navali, ultimo specifico da verificare;Giuseppe Imperatore, Luigi Imperatore;https://imperatorearchitetti.com/about/ e https://imperatorearchitetti.com/contatti/;Verificato sito ufficiale
Perna Casella Perna Studio di Architettura;Napoli;Campania;https://pcparchitettura.com/;Da verificare;Casa Via del Parco Margherita in Houzz;Tre architetti PCP, nomi da verificare sul sito;https://www.houzz.it/professionisti/architetti/perna-casella-perna-studio-di-architettura-pfvwit-pf~1201801404;Parziale, sito indicato ma email non trovata
Thera studio - Architettura&Design;Marigliano;Campania;Da verificare;Da verificare;Casa di Valentina e Antonio, 2016;Rosa Vitanza, Lucia Alfano;https://www.archilovers.com/teams/687402/thera-studio-architettura-design.html;Parziale, telefono verificato ma email non trovata
Buongiorno+Tavano Architetti;Napoli;Campania;https://www.buongiornotavanoarchitetti.it/;info@buongiornotavanoarchitetti.it;Casa R_R, 2012;Alfonso Buongiorno, Ilaria Tavano;https://www.buongiornotavanoarchitetti.it/contact.html e https://www.archilovers.com/teams/604476/buongiorno-tavano-architetti.html;Verificato sito ufficiale
studio didea;Palermo;Sicilia;https://www.studiodidea.it/;info@studiodidea.it;Super F#, nuovo spazio creativo a Malta, pubblicato 2025 e citato 2026;Nicola Giuseppe Ando, Emanuela Di Gaetano, Alfonso Riccio, Giuseppe De Lisi;https://www.studiodidea.it/ e https://bigsee.eu/profiles/studio-didea/;Verificato da fonti pubbliche
Studio Agnello & Associati;Palermo;Sicilia;https://www.studioagnelloeassociati.com/;studioagnelloeassociati@gmail.com;Rita Cocktail House, Palermo, 2019;Angelica Agnello;https://www.archilovers.com/teams/572199/studio-agnello-associati.html e https://addiopizzo.org/rete-imprese/azienda/studio-agnello-associati/;Verificato da fonti pubbliche
Studio Archifax Architetti Associati;Genova;Liguria;https://www.archifax.it/;info@archifax.it;Progetti di riqualificazione energetica e design, portfolio da verificare per data;Liliana Leone, Luca Mazzari;https://cna.ge.it/azienda-associata/archifax-architetti-associati/ e https://www.archilovers.com/teams/114437/studio-archifax-architetti-associati.html;Verificato da fonti pubbliche
Go-Up Architects;Genova;Liguria;https://www.go-up.it/;info@go-up.it;Progetti di restauro/interior design su edifici esistenti, portfolio da verificare per data;Paolo Andrea Raffetto, Nicola Valentino Canessa;https://www.go-up.it/sede/ e https://www.go-up.it/about/;Verificato sito ufficiale
